"Campaign name","Delivery status","Delivery level","Attribution setting","Result type",Results,Reach,Frequency,"Cost per result","Amount spent (USD)","Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions)","Link clicks","Shop clicks","CPC (cost per link click)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all)","Landing page views","Cost per landing page view","LPV rate","hold rate","hook rate","Purchases rate per landing page views","Reporting starts","Reporting ends"
"Guava CBO scale",inactive,campaign,"7-day click or 1-day view","Website purchases",176,291027,1.40706532,2.24767045,395.59,-,-,-,409494,0.9660459,17329,0,0.02282821,4.23180804,27512,6.71853556,0.01437882,12152,0.03255349,0.70125224,0.39008123,0.41337602,1.44832126,2025-06-25,2026-05-23
"toffeh Anna",active,campaign,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",153,125320,2.18487871,2.50464052,383.21,-,-,-,273809,1.39955224,6538,0,0.05861273,2.38779587,13552,4.94943556,0.02827701,4625,0.08285622,0.70740288,0.23962236,0.31295173,3.30810811,2025-06-25,2026-05-23
papaye,inactive,campaign,"7-day click or 1-day view","Messaging conversations started",1040,188660,2.3440687,0.34073077,354.36,-,-,-,442232,0.80129887,8701,0,0.04072635,1.96751931,24660,5.57625862,0.01436983,23,15.40695652,0.00264337,0.26503464,0.19582482,0,2025-06-25,2026-05-23
POLYGALA,inactive,campaign,"7-day click or 1-day view","Website purchases",136,69259,2.5780765,2.57485294,350.18,-,-,-,178555,1.96118843,7154,0,0.04894884,4.00660861,12426,6.95920025,0.02818123,5567,0.06290282,0.77816606,0.30651432,0.3543782,2.44296749,2025-06-25,2026-05-23
tronjiya,inactive,campaign,"7-day click or 1-day view","Website purchases",121,116170,1.85833692,2.23785124,270.78,-,-,-,215883,1.25429052,5089,0,0.05320888,2.35729539,7221,3.34486736,0.03749896,4018,0.06739174,0.78954608,0.26003595,0.02319312,3.01144848,2025-06-25,2026-05-23
"Red One image",inactive,campaign,"7-day click or 1-day view","Website purchases",160,121700,1.80862777,1.433125,229.3,-,-,-,220110,1.04175185,6145,0,0.03731489,2.79178593,12631,5.73849439,0.01815375,4302,0.05330079,0.70008137,0.75,1.817E-5,3.71920037,2025-06-25,2026-05-23
"شجرة القشطة",inactive,campaign,"7-day click or 1-day view","Website purchases",65,54268,1.98581116,3.42876923,222.87,-,-,-,107766,2.06809198,5616,0,0.03968483,5.21129113,9018,8.36813095,0.02471391,4039,0.0551795,0.71919516,0.34764547,0.34622237,1.60930923,2025-06-25,2026-05-23
"tout test cmp 1",inactive,campaign,"7-day click or 1-day view","Website purchases",64,90605,1.76286077,3.44484375,220.47,-,-,-,159724,1.38031855,5007,0,0.04403235,3.1347825,8118,5.08251734,0.02715817,3588,0.06144649,0.71659676,0.31322448,0.17445719,1.78372352,2025-06-25,2026-05-23
calamondin,inactive,campaign,"7-day click or 1-day view","Website purchases",74,66852,1.92357745,2.86337838,211.89,-,-,-,128595,1.64773125,3489,0,0.06073087,2.71316925,5765,4.48306699,0.03675455,2763,0.07668838,0.79191745,0.34372294,0.12574361,2.67824828,2025-06-25,2026-05-23
golden,inactive,campaign,"7-day click or 1-day view","Website purchases",81,64846,1.80887025,2.51024691,203.33,-,-,-,117298,1.73344814,3769,0,0.053948,3.21318352,6102,5.20213473,0.03332186,2755,0.07380399,0.73096312,0.28666023,0.18539958,2.94010889,2025-06-25,2026-05-23
"Fruit Dragon 2",inactive,campaign,"Multiple attribution settings","Website purchases",171,92991,1.55641944,1.18690058,202.96,-,-,-,144733,1.40230632,6459,0,0.03142282,4.46270028,12648,8.73885016,0.01604681,5127,0.0395865,0.79377613,0.32604142,0.38595897,3.33528379,2025-06-25,2026-05-23
"RAND CBO",inactive,campaign,"7-day click or 1-day view","Website purchases",81,87961,1.45366697,2.27358025,184.16,-,-,-,127866,1.44025777,4771,0,0.03859987,3.7312499,11309,8.84441525,0.01628438,3475,0.05299568,0.72835883,0.30546946,0.40622996,2.33093525,2025-06-25,2026-05-23
boufriwa,inactive,campaign,"7-day click or 1-day view","Website purchases",59,73666,1.74021937,3.10050847,182.93,-,-,-,128195,1.42696673,5590,0,0.03272451,4.36054448,9379,7.31619798,0.01950421,4295,0.04259139,0.76833631,0.36111111,0.32491127,1.37369034,2025-06-25,2026-05-23
"شجرة كرموس دجبة",inactive,campaign,"7-day click or 1-day view","Website purchases",118,67883,1.82490462,1.45711864,171.94,-,-,-,123880,1.38795609,5536,0,0.03105853,4.46884081,9953,8.03438812,0.01727519,4237,0.0405806,0.76535405,0.40412662,0.36032451,2.78498938,2025-06-25,2026-05-23
mechmech,inactive,campaign,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",43,70480,1.44151532,3.24534884,139.55,-,-,-,101598,1.37355066,1878,0,0.07430777,1.84846158,3432,3.37801925,0.04066142,1430,0.09758741,0.76144835,0.21754987,0.39674009,3.00699301,2025-06-25,2026-05-23
guava,active,campaign,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",38,36131,1.91187623,3.14210526,119.4,-,-,-,69078,1.72848085,1521,0,0.07850099,2.20185877,2806,4.06207476,0.04255167,1179,0.10127226,0.77514793,0.29470088,0.21608906,3.2230704,2025-06-25,2026-05-23
"رُمّان ڤَبسي",inactive,campaign,"7-day click or 1-day view","Website purchases",44,61515,1.44532228,2.30840909,101.57,-,-,-,88909,1.14240403,3042,0,0.03338922,3.42147589,5117,5.75532286,0.01984952,2167,0.04687125,0.71236029,,0,2.03045685,2025-06-25,2026-05-23
